iter	Logloss
0	0.6772321872
1	0.6671065925
2	0.6514575451
3	0.6429462862
4	0.6317912828
5	0.6218830915
6	0.6147777915
7	0.6046624887
8	0.5938721915
9	0.5867275394
10	0.5812830617
11	0.5761923656
12	0.5699764201
13	0.5649901983
14	0.5555648936
15	0.5505240483
16	0.5454189875
17	0.5358980645
18	0.5305940755
19	0.5245058713
20	0.5209860771
21	0.5184504637
22	0.5161283842
23	0.5121752652
24	0.5081377381
25	0.5036098703
26	0.5011358541
27	0.4978810293
28	0.4939097842
29	0.4902472663
30	0.4874626132
31	0.4829232955
32	0.4780635252
33	0.4753825974
34	0.4717973455
35	0.46593593
36	0.4634029336
37	0.4615424342
38	0.4585651217
39	0.4560843192
40	0.4537227916
41	0.4522326907
42	0.4487306477
43	0.4459883168
44	0.4431253976
45	0.4411107898
46	0.4384834425
47	0.4374710833
48	0.4347692825
49	0.4328586807
50	0.4311928611
51	0.4279230825
52	0.4261575923
53	0.4239553643
54	0.421256766
55	0.4183567445
56	0.4150308903
57	0.4135879907
58	0.4109386326
59	0.4073436519
60	0.4046934768
61	0.4020380389
62	0.3995998801
63	0.3968330126
64	0.3941595349
65	0.3934276776
66	0.3914172576
67	0.3885408419
68	0.3876706237
69	0.3863890802
70	0.384740937
71	0.3817712311
72	0.3804089124
73	0.378721308
74	0.3746247008
75	0.3735610327
76	0.3712296944
77	0.3697327226
78	0.3679361812
79	0.366490996
80	0.3651101863
81	0.364071618
82	0.3627788611
83	0.3613025807
84	0.3589822339
85	0.3567523218
86	0.3554988218
87	0.3531807725
88	0.3522242246
89	0.3510912074
90	0.3501760949
91	0.3482025498
92	0.3453563304
93	0.3427001551
94	0.3411738225
95	0.3394540828
96	0.3388868193
97	0.3377453599
98	0.336859254
99	0.3356491865
100	0.3339119788
101	0.3319073855
102	0.3309301753
103	0.3297846843
104	0.3289790688
105	0.3273659945
106	0.3261035931
107	0.3249694421
108	0.3241409073
109	0.3226360858
110	0.3219097129
111	0.3184220059
112	0.3177286859
113	0.3168771563
114	0.314508453
115	0.313717914
116	0.3128089764
117	0.3119905607
118	0.3109345968
119	0.309937802
120	0.3084743589
121	0.3067780846
122	0.3056364469
123	0.3046305697
124	0.3026263351
125	0.3006152705
126	0.2996742381
127	0.2986259566
128	0.2963658771
129	0.2948274054
130	0.2910771739
131	0.2903765008
132	0.2895030859
133	0.2886015648
134	0.2873328385
135	0.2860453451
136	0.2854586607
137	0.2846027706
138	0.283091171
139	0.2823817293
140	0.2816587431
141	0.28058328
142	0.2786266296
143	0.2772922482
144	0.2755366674
145	0.2741979015
146	0.2731485441
147	0.2718122911
148	0.2709067563
149	0.2693636347
150	0.2683105661
151	0.26668414
152	0.2661326153
153	0.2645534565
154	0.2637680525
155	0.2623984643
156	0.2614089556
157	0.2603704353
158	0.2596900335
159	0.2589143469
160	0.2582897253
161	0.2573821108
162	0.2567367184
163	0.2561845139
164	0.2556931491
165	0.2549634445
166	0.2535559823
167	0.2523236392
168	0.2508562772
169	0.2488034871
170	0.2476001166
171	0.246732461
172	0.2460391566
173	0.2452603744
174	0.2443450933
175	0.2434999282
176	0.2427976675
177	0.2412271088
178	0.2401404383
179	0.2390897041
180	0.2379198903
181	0.2371467902
182	0.2364907884
183	0.2357660774
184	0.2348407396
185	0.234625463
186	0.2340994168
187	0.233400401
188	0.2324254839
189	0.2320657778
190	0.2307318397
191	0.2300653131
192	0.2296589751
193	0.2283948628
194	0.2274523676
195	0.2272715197
196	0.2264032062
197	0.2257797231
198	0.2249840987
199	0.2242014543
