iter	Passed	Remaining
0	0	82
1	0	67
2	0	61
3	1	58
4	1	57
5	1	55
6	2	58
7	2	57
8	2	56
9	2	55
10	3	54
11	3	53
12	3	52
13	3	52
14	4	51
15	4	51
16	4	50
17	5	50
18	5	50
19	5	49
20	5	49
21	6	48
22	6	48
23	6	48
24	6	47
25	7	47
26	7	46
27	7	46
28	7	46
29	8	46
30	8	45
31	8	45
32	8	45
33	9	44
34	9	44
35	9	44
36	9	44
37	10	43
38	10	43
39	10	43
40	11	42
41	11	42
42	11	43
43	12	43
44	12	43
45	13	43
46	13	43
47	13	43
48	13	42
49	14	42
50	14	42
51	14	41
52	14	41
53	15	41
54	15	40
55	16	41
56	16	41
57	16	41
58	17	40
59	17	40
60	17	39
61	17	39
62	18	39
63	18	39
64	18	38
65	19	38
66	19	38
67	19	37
68	19	37
69	20	37
70	20	36
71	20	36
72	20	36
73	21	35
74	21	35
75	21	35
76	21	35
77	22	34
78	22	34
79	22	34
80	22	33
81	23	33
82	23	33
83	23	32
84	24	32
85	24	32
86	24	31
87	24	31
88	25	31
89	25	31
90	25	30
91	25	30
92	26	30
93	26	29
94	26	29
95	27	29
96	27	29
97	27	28
98	27	28
99	28	28
100	28	27
101	28	27
102	28	27
103	29	26
104	29	26
105	29	26
106	29	26
107	30	25
108	30	25
109	30	25
110	31	24
111	31	24
112	31	24
113	31	24
114	32	23
115	32	23
116	32	23
117	32	22
118	33	22
119	33	22
120	33	22
121	34	21
122	34	21
123	35	21
124	35	21
125	35	21
126	36	20
127	36	20
128	36	20
129	37	20
130	37	19
131	38	19
132	38	19
133	38	19
134	39	18
135	39	18
136	40	18
137	40	18
138	40	17
139	41	17
140	41	17
141	42	17
142	42	16
143	42	16
144	43	16
145	43	16
146	43	15
147	44	15
148	44	15
149	45	15
150	45	14
151	46	14
152	46	14
153	46	14
154	47	13
155	47	13
156	48	13
157	48	12
158	48	12
159	49	12
160	49	12
161	50	11
162	50	11
163	50	11
164	51	10
165	51	10
166	52	10
167	52	9
168	52	9
169	53	9
170	53	9
171	54	8
172	54	8
173	54	8
174	54	7
175	55	7
176	55	7
177	55	6
178	56	6
179	56	6
180	56	5
181	56	5
182	57	5
183	57	4
184	57	4
185	58	4
186	58	4
187	58	3
188	58	3
189	59	3
190	59	2
191	59	2
192	59	2
193	60	1
194	60	1
195	60	1
196	61	0
197	61	0
198	61	0
199	61	0
