股票代码,股票名称,除净日,分红方案,截至过户日,最新公告日期,财政年度,分配类型,发放日
3968.HK,招商银行,2026-01-14,每股派人民币1.013元(相当于港币1.118595元),2026/01/16-2026/01/21,2025-12-29,2025,中期分配,
1288.HK,农业银行,2025-12-05,每股派人民币0.1195元(相当于港币0.1316276元),2025/12/09-2025/12/12,2025-12-15,2025,中期分配,
1398.HK,工商银行,2025-12-04,每股派人民币0.1414元(相当于港币0.15575元),2025/12/08-2025/12/12,2025-12-15,2025,中期分配,
0939.HK,建设银行,2025-12-03,每股派人民币0.1858元(相当于港币0.204656204元),2025/12/05-2025/12/10,2025-12-12,2025,中期分配,
0005.HK,汇丰银行,2025-11-06,每股派美元0.1元(相当于港币0.777722元),,2025-12-08,2025,三季度分配,
1088.HK,中国神华,2025-10-30,每股派人民币0.98元(相当于港币1.096元),2025/11/01-2025/11/07,2025-10-27,2025,中期分配,
1330.HK,绿色动力环保,2025-10-02,每股派人民币0.1元(相当于港币0.1095元),2025/10/06-2025/10/10,2025-10-22,2025,中期分配,
0883.HK,中国海洋石油,2025-09-11,每股派港币0.73元,2025/09/15-2025/09/19,2025-08-27,2025,中期分配,
1299.HK,友邦保险,2025-09-05,每股派港币0.49元,,2025-08-21,2025,中期分配,
0388.HK,香港交易所,2025-09-02,每股派港币6元,2025/09/04-2025/09/05,2025-08-20,2025,中期分配,
0941.HK,中国移动,2025-09-01,每股派人民币2.508元(相当于港币2.75元),2025/09/03-2025/09/05,2025-08-07,2025,中期分配,
0728.HK,中国电信,2025-08-27,每股派人民币0.1812元(相当于港币0.199264元),2025/08/29-2025/09/03,2025-08-14,2025,中期分配,
0005.HK,汇丰银行,2025-08-14,每股派美元0.1元(相当于港币0.777678元),,2025-09-15,2025,二季度分配,
1138.HK,中远海能,2025-07-17,每股派人民币0.21元(相当于港币0.23028元),2025/07/19-2025/07/24,2025-06-30,2024,年度分配,
1288.HK,农业银行,2025-07-09,每股派人民币0.1255元(相当于港币0.1375342元),2025/07/11-2025/07/16,2025-06-27,2024,年度分配,
1330.HK,绿色动力环保,2025-07-08,每股派人民币0.2元(相当于港币0.219元),2025/07/10-2025/07/15,2025-06-25,2024,年度分配,
3968.HK,招商银行,2025-07-03,每股派人民币2元(相当于港币2.189861元),2025/07/05-2025/07/10,2025-06-26,2024,年度分配,
1398.HK,工商银行,2025-07-03,每股派人民币0.1646元(相当于港币0.180384元),2025/07/07-2025/07/11,2025-06-27,2024,年度分配,
1088.HK,中国神华,2025-06-26,每股派人民币2.26元(相当于港币2.4486元),2025/06/28-2025/07/04,2025-06-20,2024,年度分配,
0883.HK,中国海洋石油,2025-06-12,每股派港币0.66元,2025/06/16-2025/06/20,2025-06-05,2024,年度分配,
9988.HK,阿里巴巴-SW,2025-06-11,每股派美元0.11875元(相当于港币0.926765元(计算值)),,2025-05-15,2024,特别分配,
9988.HK,阿里巴巴-SW,2025-06-11,每股派美元0.13125元(相当于港币1.024319元(计算值)),,2025-05-15,2024,年度分配,
1211.HK,比亚迪股份,2025-06-10,"每股派人民币3.974元(相当于港币4.33596元),每10股派送8股,每10股转12股",2025/06/12-2025/06/17,2025-06-06,2024,年度分配,
0941.HK,中国移动,2025-06-06,每股派人民币2.2916元(相当于港币2.49元),2025/06/10-2025/06/12,2025-05-22,2024,年度分配,
0728.HK,中国电信,2025-06-03,每股派人民币0.0927元(相当于港币0.100637元),2025/06/05-2025/06/10,2025-05-21,2024,年度分配,
1299.HK,友邦保险,2025-05-28,每股派港币1.3098元,,2025-05-23,2024,年度分配,
0700.HK,腾讯控股,2025-05-16,每股派港币4.5元,2025/05/20-2025/05/21,2025-05-14,2024,年度分配,
0005.HK,汇丰银行,2025-05-08,每股派美元0.1元(相当于港币0.783972元),,2025-06-09,2025,一季度分配,
0939.HK,建设银行,2025-04-30,每股派人民币0.206元(相当于港币0.22177484元),2025/05/03-2025/05/08,2025-04-22,2024,年度分配,
0388.HK,香港交易所,2025-03-12,每股派港币4.9元,2025/03/14-2025/03/17,2025-02-27,2024,年度分配,
0005.HK,汇丰银行,2025-03-06,每股派美元0.36元(相当于港币2.791007元),,2025-04-14,2024,四季度分配,
0939.HK,建设银行,2025-01-02,每股派人民币0.197元(相当于港币0.21313104元),2025/01/04-2025/01/09,2024-11-28,2024,中期分配,
1288.HK,农业银行,2025-01-02,每股派人民币0.1164元(相当于港币0.1260354元),2025/01/04-2025/01/07,2024-11-29,2024,中期分配,
1398.HK,工商银行,2025-01-02,每股派人民币0.1434元(相当于港币0.155291元),2025/01/04-2025/01/06,2024-12-02,2024,中期分配,
1138.HK,中远海能,2024-11-18,每股派人民币0.22元(相当于港币0.24178元),2024/11/20-2024/11/25,2024-10-14,2024,中期分配,
0005.HK,汇丰银行,2024-11-07,每股派美元0.1元(相当于港币0.777313元),,2024-12-09,2024,三季度分配,
1330.HK,绿色动力环保,2024-09-26,每股派人民币0.1元(相当于港币0.1099元),2024/09/30-2024/10/04,2024-09-26,2024,中期分配,
0883.HK,中国海洋石油,2024-09-12,每股派港币0.74元,2024/09/16-2024/09/20,2024-08-28,2024,中期分配,
1299.HK,友邦保险,2024-09-09,每股派港币0.445元,,2024-09-06,2024,中期分配,
0728.HK,中国电信,2024-09-03,每股派人民币0.1671元(相当于港币0.182289元),2024/09/05-2024/09/10,2024-08-20,2024,中期分配,
0388.HK,香港交易所,2024-09-03,每股派港币4.36元,2024/09/05-2024/09/06,2024-08-21,2024,中期分配,
0941.HK,中国移动,2024-09-02,每股派人民币2.373元(相当于港币2.6元),2024/09/04-2024/09/06,2024-08-08,2024,中期分配,
0005.HK,汇丰银行,2024-08-15,每股派美元0.1元(相当于港币0.779073元),,2024-09-16,2024,二季度分配,
1138.HK,中远海能,2024-07-17,每股派人民币0.35元(相当于港币0.38349元),2024/07/19-2024/07/24,2024-06-28,2023,年度分配,
1398.HK,工商银行,2024-07-08,每股派人民币0.3064元(相当于港币0.335715元),2024/07/10-2024/07/15,2024-06-28,2023,年度分配,
0939.HK,建设银行,2024-07-04,每股派人民币0.4元(相当于港币0.43839268元),2024/07/06-2024/07/11,2024-06-27,2023,年度分配,
3968.HK,招商银行,2024-07-03,每股派人民币1.972元(相当于港币2.162044元),2024/07/05-2024/07/10,2024-06-26,2023,年度分配,
1088.HK,中国神华,2024-06-27,每股派人民币2.26元(相当于港币2.491元),2024/06/29-2024/07/05,2024-06-21,2023,年度分配,
0883.HK,中国海洋石油,2024-06-13,每股派港币0.66元,2024/06/17-2024/06/21,2024-06-07,2023,年度分配,
9988.HK,阿里巴巴-SW,2024-06-12,每股派美元0.125元(相当于港币0.97641元(计算值)),,2024-05-14,2023,年度分配,
9988.HK,阿里巴巴-SW,2024-06-12,每股派美元0.0825元(相当于港币0.644431元(计算值)),,2024-05-14,2023,特别分配,
1211.HK,比亚迪股份,2024-06-11,每股派人民币3.098元(相当于港币3.40609元),2024/06/13-2024/06/18,2024-06-14,2023,年度分配,
0941.HK,中国移动,2024-06-06,每股派港币2.4元,2024/06/11-2024/06/13,2024-05-22,2023,年度分配,
0728.HK,中国电信,2024-06-05,每股派人民币0.09元(相当于港币0.098814元),2024/06/07-2024/06/12,2024-05-27,2023,年度分配,
1347.HK,华虹半导体,2024-06-03,每股派港币0.165元,2024/06/05-2024/06/06,2024-05-09,2023,年度分配,
1288.HK,农业银行,2024-05-30,每股派人民币0.2309元(相当于港币0.2533104元),2024/06/01-2024/06/06,2024-05-21,2023,年度分配,
1299.HK,友邦保险,2024-05-29,每股派港币1.1907元,,2024-05-24,2023,年度分配,
0700.HK,腾讯控股,2024-05-17,每股派港币3.4元,2024/05/21-2024/05/22,2024-05-14,2023,年度分配,
0005.HK,汇丰银行,2024-05-09,每股派美元0.21元(相当于港币1.639445元),,2024-06-12,2024,特别分配,
0005.HK,汇丰银行,2024-05-09,每股派美元0.1元(相当于港币0.780688元),,2024-06-11,2024,一季度分配,
1330.HK,绿色动力环保,2024-05-06,每股派人民币0.15元(相当于港币0.165元),2024/05/08-2024/05/13,2024-04-29,2023,年度分配,
0388.HK,香港交易所,2024-03-13,每股派港币3.91元,2024/03/15-2024/03/18,2024-02-29,2023,年度分配,
0005.HK,汇丰银行,2024-03-07,每股派美元0.31元(相当于港币2.424339元(计算值)),,2024-02-21,2023,四季度分配,
9988.HK,阿里巴巴-SW,2023-12-20,每股派美元0.125元(相当于港币0.975932元(计算值)),,2023-11-16,2022,年度分配,
0005.HK,汇丰银行,2023-11-09,每股派美元0.1元(相当于港币0.780278元),,2023-12-11,2023,三季度分配,
1299.HK,友邦保险,2023-09-11,每股派港币0.4229元,,2023-09-08,2023,中期分配,
0883.HK,中国海洋石油,2023-09-07,每股派港币0.59元,2023/09/12-2023/09/15,2023-08-17,2023,中期分配,
0941.HK,中国移动,2023-09-04,每股派人民币2.24元(相当于港币2.43元),2023/09/06-2023/09/08,2023-08-10,2023,中期分配,
0388.HK,香港交易所,2023-08-29,每股派港币4.5元,2023/08/31-2023/09/01,2023-08-16,2023,中期分配,
0728.HK,中国电信,2023-08-23,每股派人民币0.1432元(相当于港币0.156524元),2023/08/25-2023/08/30,2023-08-08,2023,中期分配,
0005.HK,汇丰银行,2023-08-10,每股派美元0.1元(相当于港币0.783202元),,2023-09-11,2023,二季度分配,
1138.HK,中远海能,2023-07-18,每股派人民币0.15元(相当于港币0.16272元),2023/07/20-2023/07/25,2023-06-29,2022,年度分配,
1288.HK,农业银行,2023-07-10,每股派人民币0.2222元(相当于港币0.2410423元),2023/07/12-2023/07/17,2023-06-29,2022,年度分配,
1398.HK,工商银行,2023-07-06,每股派人民币0.3035元(相当于港币0.329236元),2023/07/08-2023/07/14,2023-06-29,2022,年度分配,
0939.HK,建设银行,2023-07-06,每股派人民币0.389元(相当于港币0.42198670元),2023/07/08-2023/07/13,2023-06-29,2022,年度分配,
3968.HK,招商银行,2023-07-05,每股派人民币1.738元(相当于港币1.890363元),2023/07/07-2023/07/12,2023-06-28,2022,年度分配,
1330.HK,绿色动力环保,2023-06-28,每股派人民币0.12元(相当于港币0.1316元),2023/06/30-2023/07/05,2023-06-16,2022,年度分配,
