Feature,Gain_Importance,Split_Importance,Mean_Contrib_Value,Impact_Direction
HSI_Return_60d,0.09021067207593005,0.037698412698412696,6.269907775701216e-05,Positive
US_10Y_Yield,0.08236554149787335,0.05357142857142857,0.0,Negative
OBV,0.059932128240300066,0.06299603174603174,-0.002242801352499646,Negative
NASDAQ_Return_20d,0.040321501428897524,0.029265873015873016,0.000595254567716743,Positive
ATR_MA,0.03742956356686721,0.03521825396825397,-0.0013397809367230837,Negative
Vol_Std_20,0.03434630936213625,0.03670634920634921,-0.0003559120049378281,Negative
TP,0.03434172253266766,0.031746031746031744,0.0,Negative
ATR,0.03365511050343571,0.03373015873015873,0.0009480318375036244,Positive
Vol_Mean_20,0.03204354577455206,0.034722222222222224,0.0019203348913961016,Positive
Volatility,0.032021995188183695,0.036210317460317464,-0.0006276640416723474,Negative
RS_Diff_60d,0.02983484575681355,0.030753968253968252,0.0003872926755358624,Positive
HSI_Return_20d,0.028184935836680247,0.026785714285714284,0.0019019410777769907,Positive
Turnover_Std_20,0.02702350027577846,0.030257936507936508,0.00040251206621117326,Positive
Turnover_Mean_20,0.02531913387574238,0.034722222222222224,0.001309150803420476,Positive
ADX,0.023652012596241796,0.023809523809523808,-0.00017356111287851873,Negative
VWAP,0.02342270198365083,0.02628968253968254,0.0007311821768393876,Positive
SP500_Return_20d,0.023008590793407155,0.02132936507936508,-0.0013275626855263974,Negative
High_Max,0.021598757024760194,0.022817460317460316,0.001031396982054888,Positive
Low_Min,0.021540416673358938,0.024305555555555556,0.0009156295139163752,Positive
VIX_Ratio_MA20,0.01724475235937008,0.019345238095238096,0.0028087205525701917,Positive
MACD,0.017018328833164172,0.016865079365079364,-5.4327951232842105e-05,Negative
MACD_signal,0.016795680483054194,0.019345238095238096,0.0006623316349292689,Positive
Return_60d,0.01642253584098026,0.01636904761904762,-0.0010770428038734741,Negative
Price_Percentile,0.014985508779701605,0.018849206349206348,0.005802189176594291,Positive
RS_Ratio_60d,0.014222856210009467,0.019345238095238096,-0.002613618230516483,Negative
CMF_Signal,0.012881648790181045,0.01636904761904762,-0.0029925581829708886,Negative
Price_Ratio_MA50,0.011530340488030543,0.010912698412698412,0.0,Negative
CMF,0.010567623643134795,0.013888888888888888,0.0,Negative
+DI,0.010407595446834946,0.01240079365079365,0.0015796596671591393,Positive
MACD_histogram,0.01025412850785488,0.012896825396825396,0.0008918170860425185,Positive
-DI,0.009214063698242752,0.011904761904761904,0.0,Negative
HSI_Return_10d,0.00915063020986001,0.010912698412698412,-6.573832963661523e-05,Negative
