Feature,Gain_Importance,Split_Importance,Mean_Contrib_Value,Impact_Direction
HSI_Return_60d,0.0820900001237694,0.03677758318739054,-0.0004710700377603818,Negative
US_10Y_Yield,0.08080469191552712,0.04658493870402802,-7.505655705108245e-05,Negative
HSI_Return_20d,0.06435402354996951,0.03572679509632224,0.0015575222711630115,Positive
HSI_Return_10d,0.05528545929117779,0.03677758318739054,-0.001172015499252763,Negative
VIX_Ratio_MA20,0.04294313513453899,0.03607705779334501,-0.0010595549045135091,Negative
SP500_Return_5d,0.040202364134317665,0.024868651488616462,-0.0003888697017789721,Negative
SP500_Return_20d,0.0362548169079983,0.026970227670753064,0.00024185678958818242,Positive
NASDAQ_Return_20d,0.03273317286424965,0.026619964973730297,-0.001517767945498649,Negative
NASDAQ_Return_5d,0.030807197297227033,0.021716287215411557,-0.0014166856985905999,Negative
HSI_Return_3d,0.03054178958319461,0.025569176882661998,-0.0005489753317572691,Negative
Volatility,0.028806865059693754,0.03152364273204904,-0.0010903482067396652,Negative
ADX,0.021060370187494862,0.023817863397548163,-0.001309704018046872,Negative
Turnover_Std_20,0.019664301341528703,0.028021015761821366,0.00046872487990724153,Positive
-DI,0.01613896575125226,0.015061295971978984,-0.00019904318236036586,Negative
HSI_Return_5d,0.014298718343687955,0.00840630472854641,0.0026428498713790397,Positive
ATR_MA,0.014264497283899464,0.019614711033274956,-0.00039184929087505543,Negative
Return_60d,0.013988145007111423,0.018563922942206657,0.0006591549045254042,Positive
OBV,0.013110369256618702,0.01786339754816112,5.4326799717584494e-05,Positive
RS_Ratio_60d,0.012486086052694623,0.017513134851138354,0.0012163702948125188,Positive
ATR_Ratio,0.01161366471309665,0.013309982486865149,-0.0013464655532997667,Negative
HSI_Return_1d,0.011554079814040375,0.015061295971978984,0.0007466330570426454,Positive
CMF_Signal,0.011251718471542263,0.015411558669001752,-0.0004376537605312044,Negative
Turnover_Mean_20,0.011080490107294368,0.015061295971978984,-0.0001195436243960791,Negative
ATR,0.010630086572589991,0.01436077057793345,-0.0013729951340352062,Negative
MACD_signal,0.010541175582562895,0.013660245183887917,0.0019484856395822507,Positive
+DI,0.010379606622700878,0.013309982486865149,-0.00017451821652736749,Negative
TP,0.009894254956147512,0.013660245183887917,0.00010715520949314467,Positive
BB_width,0.00962068955122476,0.012609457092819614,-0.00018270734952139468,Negative
VIX_Change,0.009463523026799184,0.009457092819614711,-0.0011294308843536759,Negative
NASDAQ_Return,0.00945032431755933,0.008056042031523642,-0.0008284412565483018,Negative
Vol_Std_20,0.009375127028170832,0.012959719789842382,-7.269630986250791e-05,Negative
US_10Y_Yield_Change,0.00923506442315572,0.009457092819614711,0.00041764033841925187,Positive
RS_Diff_20d,0.00888058343523229,0.011908931698774081,0.001702852976417213,Positive
RS_Ratio_10d,0.00819163458290995,0.011908931698774081,0.003064529520800697,Positive
MACD_histogram,0.008158354061828388,0.011208406304728547,0.002716901785862721,Positive
RSI,0.00802514551922078,0.011908931698774081,0.001989619888300258,Positive
RS_Ratio_20d,0.007806839994908032,0.012609457092819614,-0.00151558398516687,Negative
Vol_Ratio,0.007410579436477985,0.010157618213660246,-0.0002857917956875967,Negative
MACD,0.007235592642410933,0.009807355516637478,-0.0031583184677087483,Negative
Price_Percentile,0.007192161906003444,0.011208406304728547,0.0012523439499792118,Positive
CMF,0.007055995376662144,0.010858143607705779,-0.0022428309698805256,Negative
SP500_Return,0.006940109439935391,0.008756567425569177,-0.00010766773819896769,Negative
Turnover,0.00682339272282016,0.011208406304728547,0.002515866565349136,Positive
Return_20d,0.00666755937583695,0.00840630472854641,-0.0007520204887131335,Negative
RS_Diff_60d,0.006405544828757261,0.00840630472854641,-0.00033190253473029403,Negative
Low_Min,0.0063738365437821295,0.008756567425569177,-0.0010478402875268294,Negative
VWAP,0.006371718103835974,0.009457092819614711,-0.00027665795287101026,Negative
Vol_Mean_20,0.005222684811948139,0.007355516637478109,-1.1823088837522195e-05,Negative
Turnover_Rate,0.005072842394873653,0.008756567425569177,6.78071302759731e-05,Positive
RS_Diff_10d,0.0050292926424670885,0.0070052539404553416,0.00031178344082803314,Positive
Price_Ratio_MA50,0.0049579242948147115,0.009106830122591943,0.00013666283421518105,Positive
MA10_Deviation,0.004692032675972726,0.0070052539404553416,-0.00088989507363793,Negative
Price_Pct_20d,0.004596735213727247,0.005604203152364273,0.004740696829337984,Positive
High_Max,0.004524906261060105,0.005954465849387041,-0.00021073747774056183,Negative
